label	lmfdb_label	conductor	ainvs	disc_sign	r_lower	r_upper	rank_certified	sha2_rank_s	r_an	L_r_over_rfact	Omega_E	w1	regulator	sat_bound	torsion	tamagawa_prod	tamagawa_list	rootno	sha_an	sha_an_via_ellbsd	ellbsd_check_reldiff	lfun_taylor_check	time_ms
5077a1		5077	[0, 0, 1, -7, 6]	1	3	3	yes	0	3	1.73184990011930068979197508506015284495439272927616821328741	4.15168798308693304988417568350728629977162825656977610519374	2.07584399154346652494208784175364314988581412828488805259687	0.417143558758383969817119544618093396749810106098498386724737	1000	1	1	[1]	-1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.5545103399170000326 E-75	116
194040co6	194040.cu1	194040	[0, 0, 0, -456382227, -3752677112114]	1	2	2	yes	2	2	13.9865233347408380472125874950488419042327509512638045791216	0.0326638500999618144339342290100284190360519480832513877817918	0.0163319250499809072169671145050142095180259740416256938908959	107.048949311988706332244991182799425204061856606328064888881	100	2	4	[1, 2, 1, 2, 1]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	6.908934844075555700 E-76	100
194766c4	194766.bg1	194766	[1, 0, 0, -2077504, -1152726172]	1	2	2	yes	2	2	18.3671502473983806285615906038118689265414738680433662130711	0.125751764154389643574432947553858027784442401724401517771643	0.0628758820771948217872164737769290138922212008622007588858213	73.0293939449168141503624289412249788842200793266408957416446	100	2	2	[2, 1, 1, 1, 1]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	8.290721812890666840 E-76	68
226005g3	226005.b5	226005	[1, 1, 1, -268695, 67104702]	-1	2	2	yes	2	2	7.62744290644241121810808286414976333939271347927426004493997	0.269785289731178864653965711545053263733214530310214386286399	0.269785289731178864653965711545053263733214530310214386286399	14.1361356544728500397296993069486108336544087304278956539223	100	4	8	[1, 1, 1, 1, 8]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	0.E-76	85
226920a6	226920.h1	226920	[0, 1, 0, -73824640, -244170894880]	1	2	2	yes	2	2	16.9672151796875065545300960220139849981369644362416026413097	0.0515049796279030733153538283803309133471770437226013538220104	0.0257524898139515366576769141901654566735885218613006769110052	164.714317938448762879230650596807473211989324140491626538852	100	2	2	[1, 1, 1, 1, 2]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	2.763573937630222280 E-76	55
245310bs8	245310.bs1	245310	[1, 1, 1, -2143488860, -38197932575245]	1	2	2	yes	2	2	19.0980403845322057854892207565656343379085181766971094706743	0.0221880565865338242972450626559929465967517146272928127925461	0.0110940282932669121486225313279964732983758573136464063962730	107.591894709488756285957805450141903733764868102132774614958	100	2	8	[1, 2, 1, 1, 4, 1]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	2.763573937630222280 E-76	73
256410m4	256410.m1	256410	[1, -1, 0, -3359385, -2369097365]	1	2	2	yes	2	2	9.77848264993327670761883424526861544045629019012694085756676	0.111515355151657991686356454245171940502229321809594784117001	0.0557576775758289958431782271225859702511146609047973920585006	21.9218300399859594129507882724440863424108362654623148985947	100	2	4	[1, 2, 1, 1, 2, 1]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.3817869688151111401 E-76	86
256410q5	256410.q1	256410	[1, -1, 0, -455384160, 3740487540790]	1	2	2	yes	2	2	10.0711831599920368782812786190023076261690667790105927530032	0.253656623499456835097285499922771391591449860649718005310072	0.126828311749728417548642749961385695795724930324859002655036	9.92600057220031817819045798610344934983905027590911786573964	100	2	4	[1, 2, 1, 1, 1, 2]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	2.763573937630222280 E-76	101
297330bm4	297330.bm1	297330	[1, 0, 0, -13993740, -20149947900]	1	2	2	yes	2	2	24.8610905331549737678074562093476210579155909996229706312957	0.0780577638895166275049334348648682759620503627238367772280016	0.0390288819447583137524667174324341379810251813619183886140008	13.2706693171607999825023342059631332634703094488533326809582	100	2	24	[2, 2, 3, 1, 2, 1]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.6581443625781333681 E-75	82
305256n4	305256.n1	305256	[0, 1, 0, -1628032, -800087200]	1	2	2	yes	2	2	18.9173614858665448076890455438364748174826814695731654378710	0.133654565443056421586401590545942064289868824762352536871033	0.0668272827215282107932007952729710321449344123811762684355166	141.539209103382958211526525438218458458647918352685251658561	100	2	1	[1, 1, 1, 1, 1]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	8.290721812890666840 E-76	60
312018bm4	312018.bm3	312018	[1, 1, 1, -3745349, 9047227241]	-1	2	2	yes	2	2	17.0301799142607101886868839152933618910865198343135221252047	0.101203817180870519002112870309338736301062982026523669877129	0.101203817180870519002112870309338736301062982026523669877129	84.1380314925499862368808536629835569954006932696112649904953	100	2	2	[1, 1, 2, 1, 1, 1]	1	4.00000000000000000000000000000000000000000000000000000000000	4.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.1054295750520889120 E-75	87
