Clabel,conductor,ainvs,rank,torsion
54489b1,54489,"[1,1,1,-205,56]",3,1
54512b1,54512,"[0,0,0,-91,346]",3,1
55064b1,55064,"[0,1,0,-19,30]",3,1
55783e1,55783,"[1,1,1,-475,3786]",3,1
55846a1,55846,"[1,-1,0,-154,784]",3,1
55935g1,55935,"[0,0,1,-273,2178]",3,1
56052g1,56052,"[0,0,0,-72,225]",3,1
56441b1,56441,"[1,1,1,-55,-144]",3,1
56982a1,56982,"[1,1,0,-11,81]",3,1
56982b1,56982,"[1,1,0,-382,2740]",3,1
58397c1,58397,"[1,0,0,-35,76]",3,1
58739a1,58739,"[0,0,1,-104,382]",3,1
58774b1,58774,"[1,-1,0,2,16]",3,1
58939a1,58939,"[0,1,1,9,9]",3,1
59111a1,59111,"[0,-1,1,0,42]",3,1
59450i1,59450,"[1,0,1,-131,558]",3,2
59450i2,59450,"[1,0,1,-231,-442]",3,2
59614a1,59614,"[1,0,1,-28,42]",3,1
59704d1,59704,"[0,-1,0,-4,68]",3,1
59936b1,59936,"[0,1,0,-145,639]",3,1
60055b1,60055,"[0,-1,1,-30,3306]",3,1
60128a1,60128,"[0,1,0,-2,16]",3,1
60215b1,60215,"[0,1,1,20,134]",3,1
60296a1,60296,"[0,-1,0,-24,-35]",3,1
60803a1,60803,"[0,1,1,-65,195]",3,1
60892b1,60892,"[0,0,0,-1039,12886]",3,1
61025b1,61025,"[0,0,1,-175,-594]",3,1
61075a1,61075,"[0,0,1,-475,3906]",3,1
61229a1,61229,"[0,0,1,53,1536]",3,1
61376c1,61376,"[0,1,0,-145,399]",3,2
61376c2,61376,"[0,1,0,415,3199]",3,2
61504cg1,61504,"[0,0,0,-124,496]",3,1
61598c1,61598,"[1,0,1,35,-120]",3,1
61651a1,61651,"[1,0,0,-12,19]",3,1
61672b1,61672,"[0,1,0,-92,304]",3,1
61805c1,61805,"[1,0,0,-71,226]",3,1
61826a1,61826,"[1,1,0,-161,709]",3,1
61839b1,61839,"[1,-1,1,-17,20]",3,1
61886d1,61886,"[1,1,0,-1591,27029]",3,1
61995a1,61995,"[0,-1,1,-26,32]",3,1
62078c1,62078,"[1,-1,1,-69,189]",3,1
62168c1,62168,"[0,1,0,-172,816]",3,1
62246b1,62246,"[1,0,0,-372,2704]",3,1
62282a1,62282,"[1,0,1,-30,-28]",3,1
62319c1,62319,"[1,0,0,-187,-166]",3,1
62546a1,62546,"[1,1,0,-71,229]",3,1
62576b1,62576,"[0,-1,0,-104,-272]",3,1
62592c1,62592,"[0,-1,0,-57,9]",3,1
62823b1,62823,"[0,-1,1,-22,42]",3,1
63002h1,63002,"[1,-1,0,-394,3124]",3,1
63213b1,63213,"[0,1,1,-90,20]",3,1
63298c1,63298,"[1,-1,1,-129,657]",3,1
63422h1,63422,"[1,-1,1,-279,1839]",3,1
63437a1,63437,"[1,-1,1,-93,30]",3,1
63447a1,63447,"[1,1,1,-2,20]",3,1
63472g1,63472,"[0,1,0,56,372]",3,1
63574d1,63574,"[1,-1,0,-91,361]",3,1
63789c1,63789,"[1,1,1,-1934,40592]",3,1
63936o1,63936,"[0,0,0,-84,416]",3,1
64018h1,64018,"[1,0,0,-362,1444]",3,1
64432d1,64432,"[0,1,0,-24,100]",3,1
64522c1,64522,"[1,0,0,55,1561]",3,1
64672h1,64672,"[0,1,0,-102,364]",3,1
64763a1,64763,"[0,0,1,-1,12]",3,1
64776a1,64776,"[0,-1,0,-97,421]",3,1
65122e1,65122,"[1,-1,1,-339,2547]",3,1
65283c1,65283,"[1,0,0,-370,2711]",3,1
65424a1,65424,"[0,-1,0,-120,576]",3,1
65428d1,65428,"[0,0,0,-16,1]",3,1
65481c1,65481,"[1,1,1,-234,1230]",3,2
65481c2,65481,"[1,1,1,111,4956]",3,2
65509a1,65509,"[0,-1,1,-347,2607]",3,1
65515a1,65515,"[1,0,0,-220,1275]",3,1
65563a1,65563,"[0,1,1,-85,275]",3,1
65710b1,65710,"[1,-1,0,-40,100]",3,1
66170b1,66170,"[1,-1,0,-100,436]",3,1
66387a1,66387,"[1,1,1,-112,410]",3,1
66531a1,66531,"[1,1,1,-604,5462]",3,1
66848j1,66848,"[0,0,0,-13,4]",3,1
66993d1,66993,"[0,1,1,-202,1042]",3,1
67037b1,67037,"[1,0,0,-65,196]",3,1
67042a1,67042,"[1,0,0,6,100]",3,1
67064a1,67064,"[0,-1,0,-3004,64388]",3,1
67119a1,67119,"[0,1,1,-510,4430]",3,1
67194e1,67194,"[1,-1,0,-81,81]",3,1
67244a1,67244,"[0,-1,0,-669,6889]",3,1
67302f1,67302,"[1,-1,0,-261,1381]",3,1
67418a1,67418,"[1,1,0,-124,464]",3,1
67484b1,67484,"[0,0,0,-1,25]",3,1
67520z1,67520,"[0,0,0,-532,5344]",3,1
67926b1,67926,"[1,1,0,-59,141]",3,1
68309a1,68309,"[0,0,1,-11,6]",3,1
68499j1,68499,"[0,0,1,-459,3800]",3,1
68594b1,68594,"[1,0,1,-13,72]",3,1
68672c1,68672,"[0,0,0,-988,12016]",3,1
68751d1,68751,"[1,-1,1,-104,-196]",3,1
68773a1,68773,"[0,-1,1,-296,2058]",3,1
68802d1,68802,"[1,0,1,-173,812]",3,1
68811b1,68811,"[0,1,1,-102,380]",3,1
68890d1,68890,"[1,0,1,22,156]",3,1
68890d2,68890,"[1,0,1,-1638,25388]",3,1
69158c1,69158,"[1,0,0,-582,5476]",3,1
69232a1,69232,"[0,0,0,29,130]",3,1
69309c1,69309,"[0,0,1,-57,-54]",3,1
69321a1,69321,"[0,-1,1,-182,992]",3,1
69359a1,69359,"[0,0,1,-377,2816]",3,1
69402e1,69402,"[1,1,0,-71,201]",3,1
69477a1,69477,"[1,1,1,-7,20]",3,1
69668b1,69668,"[0,1,0,-30,49]",3,1
69850m1,69850,"[1,-1,0,-142,616]",3,1
69966t1,69966,"[1,-1,0,-324,-896]",3,2
69966t2,69966,"[1,-1,0,-2664,52924]",3,2
70022b1,70022,"[1,-1,0,-517,-2603]",3,1
70363a1,70363,"[0,0,1,-1459,21450]",3,1
70397b1,70397,"[0,-1,1,-3418,78052]",3,1
70436b1,70436,"[0,1,0,-22,-39]",3,1
70449a1,70449,"[0,-1,1,82,1472]",3,1
70449b1,70449,"[0,-1,1,-40,132]",3,1
70535a1,70535,"[1,-1,1,-18,6]",3,1
70802b1,70802,"[1,1,0,-21,25]",3,1
71145a1,71145,"[0,0,1,-2793,56848]",3,1
71215a1,71215,"[1,1,1,10,30]",3,1
71234a1,71234,"[1,0,1,-301,1980]",3,1
71288i1,71288,"[0,0,0,-2119,34186]",3,1
71374d1,71374,"[1,1,0,-57,145]",3,1
71642b1,71642,"[1,-1,0,-58,-140]",3,1
71688a1,71688,"[0,-1,0,-65,261]",3,1
72091a1,72091,"[0,1,1,-2,12]",3,1
72098a1,72098,"[1,1,0,-329,2209]",3,1
72266a1,72266,"[1,-1,0,-13,1]",3,1
72379a1,72379,"[0,1,1,-6,12]",3,1
72382a1,72382,"[1,1,0,-64,176]",3,1
72410a1,72410,"[1,-1,0,-130,676]",3,1
72471b1,72471,"[0,-1,1,-212,1070]",3,1
72578a1,72578,"[1,-1,0,-286,1936]",3,1
72683a1,72683,"[1,1,1,19,42]",3,1
72701a1,72701,"[1,1,1,-2,12]",3,1
72751b1,72751,"[0,1,1,-420,3180]",3,1
73132a1,73132,"[0,1,0,-421,3111]",3,1
73136b1,73136,"[0,1,0,-112,564]",3,1
73334a1,73334,"[1,0,1,-18,32]",3,1
73397c1,73397,"[0,1,1,-24,36]",3,1
73401a1,73401,"[0,-1,1,-4,24]",3,1
73434b1,73434,"[1,1,0,-19,1]",3,1
73931a1,73931,"[0,-1,1,-2042,36222]",3,1
74015a1,74015,"[0,-1,1,84,72]",3,1
74174a1,74174,"[1,0,1,-83,282]",3,1
74179b1,74179,"[0,0,1,-97,276]",3,1
74216a1,74216,"[0,0,0,-76,244]",3,1
74350c1,74350,"[1,0,1,-51,98]",3,1
74434a1,74434,"[1,1,0,8,20]",3,1
74451a1,74451,"[0,-1,1,-92,362]",3,1
74560p1,74560,"[0,0,0,-508,4432]",3,1
74639b1,74639,"[1,1,1,-121,462]",3,1
74864b1,74864,"[0,1,0,-400,2964]",3,1
74921g1,74921,"[0,-1,1,-604,-596]",3,1
74999a1,74999,"[0,-1,1,15,72]",3,1
